year,topic,neighbor,cosine,rank
2000,0,1,0.7276,1
2000,0,0,-1.0000,2
2000,1,0,0.7276,1
2000,1,1,-1.0000,2
2001,0,2,0.7271,1
2001,0,0,-1.0000,2
2001,2,0,0.7271,1
2001,2,2,-1.0000,2
2002,0,1,0.8610,1
2002,0,3,0.8231,2
2002,0,2,0.7629,3
2002,1,0,0.8610,1
2002,1,2,0.8297,2
2002,1,3,0.7610,3
2002,2,1,0.8297,1
2002,2,0,0.7629,2
2002,2,3,0.6754,3
2002,3,0,0.8231,1
2002,3,1,0.7610,2
2002,3,2,0.6754,3
2003,0,1,0.8169,1
2003,0,2,0.6994,2
2003,0,4,0.5925,3
2003,1,0,0.8169,1
2003,1,2,0.8155,2
2003,1,4,0.7111,3
2003,2,1,0.8155,1
2003,2,0,0.6994,2
2003,2,4,0.6894,3
2003,4,1,0.7111,1
2003,4,2,0.6894,2
2003,4,0,0.5925,3
2004,0,3,0.8598,1
2004,0,1,0.8300,2
2004,0,2,0.7249,3
2004,1,0,0.8300,1
2004,1,2,0.8123,2
2004,1,3,0.7791,3
2004,2,1,0.8123,1
2004,2,4,0.7582,2
2004,2,3,0.7414,3
2004,3,0,0.8598,1
2004,3,1,0.7791,2
2004,3,2,0.7414,3
2004,4,1,0.7659,1
2004,4,2,0.7582,2
2004,4,3,0.7056,3
2005,0,1,0.8149,1
2005,0,2,0.7581,2
2005,0,0,-1.0000,3
2005,1,0,0.8149,1
2005,1,2,0.8078,2
2005,1,1,-1.0000,3
2005,2,1,0.8078,1
2005,2,0,0.7581,2
2005,2,2,-1.0000,3
2006,0,1,0.8128,1
2006,0,2,0.7828,2
2006,0,0,-1.0000,3
2006,1,0,0.8128,1
2006,1,2,0.7746,2
2006,1,1,-1.0000,3
2006,2,0,0.7828,1
2006,2,1,0.7746,2
2006,2,2,-1.0000,3
2007,0,1,0.8065,1
2007,0,3,0.7843,2
2007,0,2,0.7334,3
2007,1,0,0.8065,1
2007,1,2,0.7799,2
2007,1,3,0.7068,3
2007,2,1,0.7799,1
2007,2,0,0.7334,2
2007,2,3,0.6748,3
2007,3,0,0.7843,1
2007,3,1,0.7068,2
2007,3,2,0.6748,3
2008,0,1,0.8111,1
2008,0,3,0.7801,2
2008,0,2,0.7744,3
2008,1,2,0.8147,1
2008,1,0,0.8111,2
2008,1,3,0.7726,3
2008,2,1,0.8147,1
2008,2,0,0.7744,2
2008,2,3,0.7565,3
2008,3,0,0.7801,1
2008,3,1,0.7726,2
2008,3,2,0.7565,3
2009,0,1,0.8189,1
2009,0,4,0.7763,2
2009,0,2,0.7645,3
2009,1,4,0.8389,1
2009,1,2,0.8312,2
2009,1,0,0.8189,3
2009,2,1,0.8312,1
2009,2,4,0.7915,2
2009,2,0,0.7645,3
2009,4,1,0.8389,1
2009,4,2,0.7915,2
2009,4,0,0.7763,3
2010,0,1,0.8747,1
2010,0,3,0.7998,2
2010,0,2,0.7423,3
2010,1,0,0.8747,1
2010,1,2,0.8132,2
2010,1,3,0.7801,3
2010,2,1,0.8132,1
2010,2,0,0.7423,2
2010,2,3,0.6540,3
2010,3,0,0.7998,1
2010,3,1,0.7801,2
2010,3,2,0.6540,3
2011,0,3,0.8882,1
2011,0,1,0.8506,2
2011,0,2,0.8345,3
2011,1,4,0.9134,1
2011,1,2,0.8787,2
2011,1,0,0.8506,3
2011,2,1,0.8787,1
2011,2,4,0.8497,2
2011,2,0,0.8345,3
2011,3,0,0.8882,1
2011,3,1,0.7688,2
2011,3,2,0.7668,3
2011,4,1,0.9134,1
2011,4,2,0.8497,2
2011,4,0,0.8041,3
2012,0,4,0.8073,1
2012,0,1,0.8056,2
2012,0,3,0.8035,3
2012,1,4,0.8997,1
2012,1,2,0.8438,2
2012,1,0,0.8056,3
2012,2,1,0.8438,1
2012,2,4,0.8409,2
2012,2,0,0.7609,3
2012,3,0,0.8035,1
2012,3,1,0.7795,2
2012,3,2,0.7414,3
2012,4,1,0.8997,1
2012,4,2,0.8409,2
2012,4,0,0.8073,3
2013,0,1,0.8535,1
2013,0,3,0.8312,2
2013,0,7,0.7880,3
2013,1,4,0.8808,1
2013,1,2,0.8755,2
2013,1,3,0.8556,3
2013,2,1,0.8755,1
2013,2,4,0.8507,2
2013,2,7,0.8438,3
2013,3,1,0.8556,1
2013,3,0,0.8312,2
2013,3,2,0.7586,3
2013,4,1,0.8808,1
2013,4,2,0.8507,2
2013,4,0,0.7710,3
2013,7,2,0.8438,1
